agreeableness,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0
0.9,high,high,good,good,fair,fair,fair,low,low,low
0.8,high,high,high,good,good,fair,fair,fair,low,low
0.7,good,high,high,high,good,good,fair,fair,fair,low
0.6,good,good,high,high,high,good,good,fair,fair,fair
0.5,fair,good,good,high,high,high,good,good,fair,fair
0.4,fair,fair,good,good,high,high,high,good,good,fair
0.3,fair,fair,fair,good,good,high,high,high,good,good
0.2,low,fair,fair,fair,good,good,high,high,high,good
0.1,low,low,fair,fair,fair,good,good,high,high,high
0,low,low,low,fair,fair,fair,good,good,high,high
